id_filosofo,nome,definicao_de_ciencia,resumo,fonte,biografia,responsavel,possui_criterio_demarcacao
F25,Paul Thagard,"Para Thagard, uma teoria não é científica se satisfaz as condições:
1- A teoria tem sido menos progressiva do que teorias alternativas por um longo período de tempo e tem muitos problemas não resolvidos
2- A comunidade de participantes faz pouco esforço pra desenvolver a teoria para resolver seus problemas, não demonstra preocupação com as tentativas de avaliar a teoria em relação a outras e é seletiva em considerar confirmações de desconfimações

Para Thagard, teorias podem levar algum tempo sendo apenas não promissoras até que de fato passem a ser consideradas pseudociência(por exemplo a astrologia).","Para Thagard, uma teoria não é científica se satisfaz as condições:
1- A teoria tem sido menos progressiva do que teorias alternativas por um longo período de tempo e tem muitos problemas não resolvidos
2- A comunidade de participantes faz pouco esforço pra desenvolver a teoria para resolver seus problemas e é seletiva em considerar confirmações de desconfimaçõe
","THAGARD, Paul R. Why Astrology is a Pseudoscience. PSA: Proceedings of the Biennial Meeting of the Philosophy of Science Association, 1978.
https://en.wikipedia.org/wiki/Demarcation_problem","Paul Thagard é um filósofo e cientista cognitivo canadense nascido em 1950 e estudou na Universidade de Toronto (e na Universidade de Cambridge). Ele destaca-se por suas contribuições fundamentais à filosofia da ciência, à ciência cognitiva e ao estudo computacional das teorias científicas.",allan,sim
F26,Kwasi Wiredu,"Para Wiredu, a racionalidade empírica não possui uma fronteira cultural ocidental exclusiva; a ciência define-se pela coerência lógica e evidência material, exigindo a descolonização de dogmas dogmáticos.","Racionalidade empírica e lógica universal, livre de exclusividades culturais dogmáticas.","WIREDU, Kwasi. Cultural universals and particulars: an African perspective. Bloomington: Indiana University Press, 1996.","Filósofo de origem ganesa, Kwasi Wiredu (1931–2022) graduou-se pela Universidade de Oxford. Ele consagrou-se como uma das figuras centrais da filosofia africana contemporânea, destacando-se por seus debates em epistemologia e por sua defesa rigorosa da descolonização conceitual.",anizio,nao
F27,J. A. Cover,"Para Cover, as tentativas históricas de demarcação estrita falham; a racionalidade científica afere-se pela robustez crítica e pelo progresso teórico das práticas, e não por uma regra única.","A racionalidade afere-se pelo progresso teórico e robustez crítica, sem limites metodológicos estritos.","CURD, Martin; COVER, J. A.; PINCOCK, Christopher (ORGS.). Philosophy of science: the central issues. Second edition, international student edition ed. New York London: W.W. Norton & Company, 2013.","O estudioso estadunidense J. A. Cover, nascido em 1958, obteve sua formação na Universidade de Syracuse. Sua produção intelectual e docência estão concentradas fundamentalmente na análise da metafísica, na filosofia moderna e em tópicos basilares da filosofia da ciência.",felipe,nao
F28,Christopher Pincock,"Para Pincock, a definição de ciência deve se basear na legitimidade epistêmica de suas representações, a partir da sua capacidade de usar modelos abstratos e matemáticos de forma justificada, controlada e empiricamente mapeável, olhando para a epistemologia da modelagem.","Para Pincock, as áreas que se propõem como ciência devem ter uma metodologia justificada, a partir de modelagem abstrata e matemática.","PINCOCK, Christopher. Mathematics and Scientific Representation. Oxford: Oxford University Press, 2012.","Christopher Pincock é um filósofo contemporâneo estaudidense, e concluiu seu doutorado na Universidade da Califórnia, Berkeley. Atualmente leciona na Universidade Estadual de Ohio, focando suas pesquisas em como os modelos matemáticos conseguem representar o mundo físico.",mariana,sim
F29,Alan Musgrave,"Para Musgrave, a ciência demarca-se pelo realismo crítico; não pela prova absoluta, mas pela aceitação estritamente provisória e racional das teorias que melhor resistem a testes de refutação severos.",Realismo crítico; aceitação racional e provisória de teorias que sobrevivem a testes severos.,"LAKATOS, Imre; MUSGRAVE, Alan. Criticism and the growth of knowledge. Cambridge: Cambridge University Press, 1970.","Nascido em 1940, o filósofo britânico-neozelandês Alan Musgrave estudou na prestigiada London School of Economics. No âmbito acadêmico, notabilizou-se como um ardente defensor do realismo crítico e por suas colaborações profundas na teoria do conhecimento e na epistemologia das ciências físicas.",allan,nao
F30,Maarten Boudry,"Ele acredita que a demarcação da ciência é algo bidimensional ao invés de unidimensional, tendo um eixo empirico (se é possivel realizar experimentos) e um eixo teorico (rigor teorico). Ele conclue portanto que a ciência sólida tem ambos requisitos e a pseudociência não tem nenhum dos requisitos.","Acredita que a demarcação da ciência é algo bidimensional ao invés de unidimensional como outras teorias, tendo um eixo empirico e um eixo teorico.","BOUDRY, Maarten. Philosophy of Pseudoscience: Reconsidering the Demarcation Problem (2013).","Nasceu em 15 de Agosto de 1984 em Moorslede, Bélgica, tem 41 anos.",anizio,sim
F31,Gaston Bachelard,"Para Bachelard, a definição de ciência se baseia nos seguintes pilares:
1 - Ruptura epistemológica: ""recusa"" do senso comum e do que é evidente aos sentidos.
2 - Obstáculo epistemológico: superação de barreiras que o próprio ser humano cria.
3 - Racionalismo aplicado e tecnocientificismo: a ciência é o conhecimento mediado por teorias e técnicas.","Para Bachelard, a ciência é a forma de conhecimento que rompe com as aparências do senso comum e constrói seus próprios objetos através da razão e da técnica.","BACHELARD, Gaston. A formação do espírito científico: contribuição para uma psicanálise do conhecimento objetivo. Tradução de Estela dos Santos Abreu. Rio de Janeiro: Contraponto, 1996.","Gaston Bachelard foi um filósofo francês nascido em 1884 e estudou na Universidade de Sorbonne. Ele destacou-se por suas contribuições fundamentais à filosofia da ciência e à poética do espaço e da imaginação, falecendo em 1962.",mariana,sim
F32,Philip Kitcher,"Para Kitcher, o problema da demarcação não deve ser resolvido somente com um critério lógico simples. Para ele, a ""boa ciência"" possui três critérios fundamentais:
1 - Testabilidade independente de hipóteses auxiliares: ao enfrentar uma anomalia, propor hipóteses auxiliares não é um problema, desde que elas mesmas sejam testáveis de forma independente do problema específico que ela foi criada para resolver.
2 - Unificação: a ""boa ciência"" utiliza uma quantidade limitada de estratégias ou padrões de resolução para explicar uma variedade de fenômenos diferentes, enquanto a pseudociência cria muitas explicações isoladas (ad hoc), carecendo de estrutura central integrada.
3 - Fecundidade/Profundidade: a ciência florescente é intrinsecamente incompleta, de forma a possibilitar novos problemas, discussões e investigações, enquanto a pseudociência é estéril, no sentido de defender um dogma estático e não promover novas agendas de pesquisa.","Para Kitcher, a ciência possui três critérios fundamentais: testabilidade independente das hipóteses auxiliares; unificação; e fecundidade.","KITCHER, Philip. Abusing science: the case against creationism. Cambridge, MA: MIT Press, 1982.","Philip Kitcher é um filósofo britânico nascido em 1947 e estudou na Universidade de Princeton. Ele destacou-se por suas contribuições fundamentais à filosofia da ciência, à filosofia da biologia e ao pragmatismo.",mariana,sim
F33,Susan Haack,"Para Haack, a definição de ciência se baseia em três ideias centrais:
1 - Continuidade com o senso comum: a investigação científica é uma extensão das habilidades cognitivas cotidianas que os seres humanos usam para resolver problemas, de modo a seguir um modelo de palavras cruzadas, em que o suporte para uma hipótese encaixa pistas (evidências empíricas) com palavras preenchidas (conhecimento prévio).
2 - Antiessencialismo: não existe um método científico único, pois a ciência é abrange uma variedade de práticas, e tentar restringir isso seria um erro conceitual.
3 - Investigação crítica: com foco na atitude epistêmica, a ciência deve ser vista como prática que busca a verdade e é aberta a mudanças caso as evidências contrariem a hipótese inicial, enquanto a pseudicência realiza uma pseudoinvestigação (sham inquiry), em que evidências que contradizem as hipóteses são ignoradas.","Para Haack, a ciência possui três ideias fundamentais: continuidade com o senso comum; antiessencialismo; e investigação crítica.","HAACK, Susan. Defending science - within reason: between scientism and cynicism. Amherst, NY: Prometheus Books, 2003.","Susan Haack é uma filósofa e lógica britânica nascida em 1945 e estudou na Universidade de Oxford. Ela destacou-se por suas contribuições fundamentais à filosofia da linguagem, à epistemologia (notadamente com o fundeherentismo) e ao pragmatismo.",mariana,sim
F34,Mituo Taketani,"Mituo Taketani defende que ciência é um processo contínuo e dialético de penetração na matéria. 
Para ser ciência deve cumprir:

1. Estágio Fenomenológico (A Observação): Deve começar com a descrição empírica dos fenômenos observados na natureza.
2. Estágio Substancial (A Estrutura):  A investigação deve buscar identificar e comprovar a estrutura que causa o que foi observado.
3. Estágio Essencial (A Lei Universal): A ciência deve formular as leis matemáticas, dinâmicas e universais definitivas que regem o sistema.
4. Ciclo inquebrável: O conhecimento cai na pseudociência ou na metafísica se romper esse ciclo. Criar equações matemáticas (Essência) sem provar a base material (Substância) é pseudociência. Ficar eternamente catalogando fatos (Fenômeno) sem buscar a estrutura oculta é fenomenalismo não científico.","Para Mituo Taketani, a Ciência é um processo guiado pela ""Doutrina dos Três Estágios"" (Fenômeno, Substância e Essência).
A Pseudociência ocorre quando um sistema rompe esse ciclo.
A Não Ciência sequer se propõe a buscar a estrutura profunda ou formular leis.","TAKETANI, Mituo. Shizen no Benshōhō [A Dialética da Natureza]. Tóquio: Nihon Hyoronsha, 1948.","Mituo Taketani foi um físico e filósofo japonês nascido em 1911 e estudou na Universidade Imperial de Kyoto. Ele destacou-se por suas contribuições fundamentais à física de partículas e à filosofia da ciência (notadamente com a Doutrina dos Três Estágios), falecendo em 2000.",felipe,sim
F35,Hu Shih,"Hu Shih defende que a ciência não são verdades absolutas, mas uma atitude baseada no ""Pragmatismo Metodológico"". Para ser ciência, o investigador e as ideias devem satisfazer:

1. Ousadia na hipótese:  Deve-se incentivar a criação das hipóteses mais arrojadas e criativas possíveis para tentar solucionar um problema.
2. Cuidado na verificação:  Nenhuma ideia tem valor de verdade até passar pelo teste rigoroso da prova prática, da experimentação e das evidências empíricas.
3. Ceticismo construtivo contra o autoritarismo: A ciência rejeita a aceitação passiva da tradição. Nenhum conhecimento está isento da dúvida metódica e da necessidade de comprovação.
4. Ferramentalidade das teorias: Toda teoria ou premissa deve ser tratada apenas como uma ferramenta provisória. Se a ideia não gera consequências testáveis na realidade ou falha na prática, ela deve ser descartada, evitando que se transforme em dogma.","Para Hu Shih, a Ciência caracteriza-se com base na ""ousadia na hipótese e cuidado na verificação"", tratando a teoria como uma ferramenta.
A Pseudociência é um conjunto de ideias que falha ao rejeitar a investigação prática.
A Não Ciência engloba tradições que sequer se propõem a testar suas crenças na realidade.","HU, Shih. Hu Shih Wencun [Coletânea de Ensaios de Hu Shih]. Xangai: Ya Dong Tu Shu Guan, 1921","Hu Shih foi um filósofo e ensaísta chinês nascido em 1891 e estudou na Universidade de Columbia. Ele destacou-se por suas contribuições fundamentais ao pragmatismo, ao Movimento da Nova Cultura e à reforma da literatura chinesa, falecendo em 1962.",felipe,sim
F36,Paulin Hountondji,"Paulin Hountondji estabelece que a ciência e a filosofia rigorosa são discursos críticos e estruturados. Deve satisfazer os requisitos:

1. Exigência de Universalismo Metodológico: As regras de investigação, validação e experimentação devem ser aplicáveis universalmente.
2. Registro Explícito:  O conhecimento deve estar em uma literatura explícita para que as ideias sejam objetos de verificação pública e histórica.
3. Responsabilidade Individual: O conhecimento científico é gerado por pesquisadores que assumem a autoria e a responsabilidade analítica pelas suas hipóteses. 
4. Submissão à Crítica e Refutação: O sistema não pode exigir a adesão cega ou a crença passiva de seus seguidores. Para ser ciência, o discurso deve estar obrigatoriamente aberto à crítica analítica por seus pares e à possível refutação de seus postulados.","Para Paulin Hountondji, a Ciência é um universalismo metodológico, exige literatura, responsabilidade individual e aberto à crítica.
A Pseudociência é um que sistema tenta burlar essas exigências.
A Não Ciência são saberes que não se propõem a operar sob a refutação empírica ou metodológica.","HOUNTONDJI, Paulin J. Sur la ""philosophie africaine"": critique de l'ethnophilosophie. Paris: François Maspero, 1976.","Paulin Hountondji foi um filósofo beninense nascido em 1942 e estudou na École Normale Supérieure de Paris. Ele destacou-se por suas contribuições fundamentais à filosofia africana, à epistemologia e pela sua rigorosa crítica à etnofilosofia, falecendo em 2024.",felipe,sim
